"País","Género","Edad_del_encuestado_calculada","Interés_en_la_política","Confianza_politicos","Confianza_parlamento","Confianza_partidos_politicos","Votó_en_la_última_elección_nacional","Participó_en_una_manifestación_pública_en_los_últimos_12_meses","Sentimiento_de_cercanía_hacia_un_partido_político_en_particular","Rango_Edad","Region_Geografica"
"Austria","Male",65,1,5,6,5,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",21,2,1,6,0,"Yes","Yes","Yes","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",53,2,4,7,4,"Yes","Yes","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Female",78,3,3,5,3,"No","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Female",59,2,5,3,5,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",77,2,4,6,5,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",69,1,7,9,6,"Yes","Yes","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",52,3,3,6,2,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",75,2,8,8,8,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Female",44,1,6,6,6,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Male",49,2,3,6,3,"No","Yes","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",30,3,8,7,7,"Yes","Yes","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",67,1,2,2,2,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",41,1,6,7,6,"Yes","Yes","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",82,2,5,2,5,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Male",42,2,3,5,3,"Not eligible to vote","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",85,1,8,7,8,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Male",72,2,6,4,6,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",31,3,2,4,2,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",50,2,4,5,4,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",60,1,0,0,0,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",43,3,4,5,2,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",41,2,0,2,2,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",35,4,3,5,2,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",49,3,1,2,2,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",46,2,3,5,3,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",81,2,8,8,7,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Female",57,3,4,5,4,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Female",67,1,5,4,5,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",38,4,8,8,8,"No","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",59,3,5,5,5,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Male",77,1,5,7,3,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Male",58,2,4,4,3,"Yes","No","Yes","Adultos (45-59)","Europa Occidental"
"Austria","Female",38,2,1,0,1,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Female",79,2,5,3,5,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",25,4,0,2,0,"No","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",34,2,8,9,9,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",74,2,5,8,4,"Not eligible to vote","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Male",74,2,2,5,2,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",36,3,3,5,4,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",28,3,2,4,2,"Yes","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Male",65,2,5,6,6,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",42,4,4,4,4,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",60,1,6,7,5,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",20,4,2,5,3,"No","No","No","Jóvenes (15-29)","Europa Occidental"
"Austria","Female",80,2,9,9,9,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",75,2,10,10,10,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Female",87,2,1,4,1,"Yes","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Female",57,2,3,6,4,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",76,1,2,2,2,"Yes","No","Yes","Ancianos (75-90)","Europa Occidental"
"Austria","Male",61,2,4,4,5,"Yes","No","No","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",43,2,6,9,6,"Yes","No","Yes","Adultos Jóvenes (30-44)","Europa Occidental"
"Austria","Male",51,2,5,5,3,"Yes","No","No","Adultos (45-59)","Europa Occidental"
"Austria","Male",69,1,4,5,4,"Yes","Yes","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",74,2,0,2,0,"No","No","No","Ancianos (75-90)","Europa Occidental"
"Austria","Female",68,2,2,4,3,"Yes","No","Yes","Adultos Mayores (60-74)","Europa Occidental"
"Austria","Female",36,3,5,6,5,"Yes","No","No","Adultos Jóvenes (30-44)","Europa Occidental"
