name;essround;edition;proddate;idno;cntry;dweight;pweight;polintr;psppsgva;psppipla;trstprl;trstplt;trstprt;vote;pbldmna;clsprty;gndr;agea;edulvlb;hinctnta;prob;stratum;psu
ESS11e01;11;10;20062024;50014;AT;11851145;33091453;1;4;4;6;5;5;1;2;1;1;65;322;6;5786479;107;317
ESS11e01;11;10;20062024;50030;AT;6098981;33091453;2;3;3;6;1;0;1;1;1;2;21;423;1;11243912;69;128
ESS11e01;11;10;20062024;50057;AT;13923296;33091453;2;4;4;7;4;4;1;1;1;2;53;610;5;49253;18;418
ESS11e01;11;10;20062024;50106;AT;5560615;33091453;3;2;2;5;3;3;2;2;2;2;78;422;2;12332522;101;295
ESS11e01;11;10;20062024;50158;AT;9926053;33091453;2;2;2;3;5;5;1;2;2;2;59;313;9;6908728;7;373
ESS11e01;11;10;20062024;50211;AT;5403178;33091453;2;2;2;6;4;5;1;2;1;2;77;212;3;12691865;58;86
ESS11e01;11;10;20062024;50212;AT;81462234;33091453;1;4;4;9;7;6;1;1;1;2;69;720;10;8418184;38;3
ESS11e01;11;10;20062024;50213;AT;13649563;33091453;3;2;2;6;3;2;1;2;2;2;52;422;8;5024074;62;108
ESS11e01;11;10;20062024;50235;AT;872949;33091453;2;3;3;8;8;8;1;2;2;2;75;212;3;7855717;105;314
ESS11e01;11;10;20062024;50236;AT;6989865;33091453;1;2;3;6;6;6;1;2;1;2;44;422;4;9810835;26;622
ESS11e01;11;10;20062024;50238;AT;8320375;33091453;2;2;2;6;3;3;2;1;2;1;49;322;6;8241984;94;242
ESS11e01;11;10;20062024;50270;AT;58181804;33091453;3;4;4;7;8;7;1;1;1;2;30;720;8;11786572;5;368
ESS11e01;11;10;20062024;50281;AT;69352174;33091453;1;2;2;2;2;2;1;2;2;2;67;322;5;988814;35;783
ESS11e01;11;10;20062024;50310;AT;23245115;33091453;1;2;3;7;6;6;1;1;1;1;41;322;8;29501427;75;165
ESS11e01;11;10;20062024;50311;AT;9926053;33091453;2;2;3;2;5;5;1;2;1;2;82;322;6;6908728;7;373
ESS11e01;11;10;20062024;50339;AT;5560615;33091453;2;2;2;5;3;3;3;2;2;1;42;212;1;12332522;101;283
ESS11e01;11;10;20062024;50341;AT;48294935;33091453;1;3;2;7;8;8;1;2;1;2;85;322;2;14199503;17;414
ESS11e01;11;10;20062024;50349;AT;9926053;33091453;2;2;3;4;6;6;1;2;1;1;72;322;2;6908728;7;373
ESS11e01;11;10;20062024;50355;AT;7366085;33091453;3;2;2;4;2;2;2;2;2;1;31;322;2;9309749;21;610
ESS11e01;11;10;20062024;50363;AT;19560468;33091453;2;3;3;5;4;4;1;2;2;2;50;322;8;35058672;45;31
ESS11e01;11;10;20062024;50367;AT;6098981;33091453;1;2;1;0;0;0;1;2;2;2;60;313;3;11243912;69;132
ESS11e01;11;10;20062024;50375;AT;14462273;33091453;3;2;3;5;4;2;1;2;2;2;43;610;8;47417445;41;19
ESS11e01;11;10;20062024;50380;AT;1298475;33091453;2;3;3;2;0;2;1;2;2;2;41;322;8;52813033;99;266
ESS11e01;11;10;20062024;50412;AT;1329427;33091453;4;2;1;5;3;2;2;2;2;2;35;313;4;5158343;77;177
ESS11e01;11;10;20062024;50423;AT;4598905;33091453;3;2;2;2;1;2;1;2;2;2;49;212;2;14911463;67;121
ESS11e01;11;10;20062024;50433;AT;6670056;33091453;2;2;2;5;3;3;1;2;2;1;46;720;3;10281234;28;660
ESS11e01;11;10;20062024;50441;AT;9669464;33091453;2;3;3;8;8;7;1;2;2;2;81;212;2;70920587;61;105
ESS11e01;11;10;20062024;50446;AT;7417395;33091453;3;3;3;5;4;4;1;2;2;2;57;322;3;92453486;29;684
ESS11e01;11;10;20062024;50465;AT;7803352;33091453;1;1;1;4;5;5;1;2;1;2;67;423;3;87880704;63;506
ESS11e01;11;10;20062024;50468;AT;12012872;33091453;4;4;4;8;8;8;2;2;2;2;38;322;7;5708578;112;335
ESS11e01;11;10;20062024;50512;AT;14378188;33091453;3;2;2;5;5;5;1;2;2;2;59;213;5;47694752;25;442
ESS11e01;11;10;20062024;50517;AT;9332868;33091453;1;2;2;7;5;3;1;2;1;1;77;212;7;7347838;71;155
ESS11e01;11;10;20062024;50577;AT;82740283;33091453;2;3;3;4;4;3;1;2;1;1;58;322;5;82881516;108;319
ESS11e01;11;10;20062024;50591;AT;41601875;33091453;2;3;3;0;1;1;1;2;1;2;38;322;3;16483968;94;243
ESS11e01;11;10;20062024;50592;AT;6494272;33091453;2;1;2;3;5;5;1;2;1;2;79;322;2;10559522;10;388
ESS11e01;11;10;20062024;50611;AT;1073635;33091453;4;1;1;2;0;0;2;2;2;2;25;322;6;63873106;59;89
ESS11e01;11;10;20062024;50623;AT;9099707;33091453;2;4;4;9;8;9;1;2;1;2;34;322;6;7536111;62;107
ESS11e01;11;10;20062024;50637;AT;68042654;33091453;2;1;1;8;5;4;3;2;1;1;74;720;1;10078443;2;557
ESS11e01;11;10;20062024;50638;AT;55606145;33091453;2;2;2;5;2;2;1;2;1;1;74;322;2;12332523;101;280
ESS11e01;11;10;20062024;50651;AT;4991056;33091453;3;3;3;5;3;4;1;2;1;2;36;610;5;13739859;48;43
ESS11e01;11;10;20062024;50681;AT;1159529;33091453;3;2;3;4;2;2;1;2;2;1;28;322;6;591416;87;219
ESS11e01;11;10;20062024;50687;AT;7417395;33091453;2;1;3;6;5;6;1;2;1;1;65;322;9;92453486;29;679
ESS11e01;11;10;20062024;50707;AT;1021017;33091453;4;2;2;4;4;4;1;2;2;2;42;212;5;6716481;11;394
ESS11e01;11;10;20062024;50730;AT;80748725;33091453;1;3;4;7;6;5;1;2;1;1;60;322;7;8492568;22;425
ESS11e01;11;10;20062024;50868;AT;4114013;33091453;4;2;2;5;2;3;2;2;2;2;20;322;4;16668981;89;225
